Wavelength [nm],Ed0: 380,Ed0: 395,Ed0: 412,Ed0: 443,Ed0: 465,Ed0: 490,Ed0: 510,Ed0: 532,Ed0: 555,Ed0: 560,Ed0: 565,Ed0: 589,Ed0: 625,Ed0: 665,Ed0: 670,Ed0: 683,Ed0: 694,Ed0: 710,Ed0: PAR
360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0.0000485097556831022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,0.000127642503774293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0.000105642153137805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0.000168691485903781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0.000277117336422457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,0.000374860106224025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0.000477568979908326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0.000568102535853483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0.000852622617567923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,0.00289626299700258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0.0169773200455319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000491998750279832
373,0.0900319659904636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384148364965929
374,0.318862895209888,0.0000235453335470027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000455451250564099
375,0.595677037231131,0.000120723678934345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000489390486655694
376,0.823777043761231,0.000114370245357807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000497153543876275
377,0.922895005303635,0.000146181855131222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593441695671639
378,0.951385779093381,0.000108883205188817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000672367257792225
379,0.971819123632409,0.000206669179990237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080172274680135
380,0.990930786013152,0.000255923787296211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000882662796385224
381,0.994726366676174,0.000326513307526043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000959035430577527
382,1,0.000461187845961212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102495171171274
383,0.929843258334782,0.000666363224846637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011894487617729
384,0.7538472604857,0.00104594326069446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157628241555378
385,0.42086447288406,0.00281733437995716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00322357535407298
386,0.154017424821982,0.0103637069477206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00988977685825329
387,0.0306438561588625,0.0501497365727781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361618065508402
388,0.00291045985797644,0.215318792525967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132951315982531
389,0.000506171787819512,0.465934707521082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2842843258751
390,0.000144493590279246,0.735722021186456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455398317559488
391,0.000029531555120201,0.924167904071418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599272594175435
392,0.0000330461097439853,0.96385072363837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652852186643872
393,0,0.979628543107937,0.0000260589223523334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694094922085855
394,0,0.990690283942641,0.0000389401128035501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723727534873105
395,0,1,0.0000913594868331815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741267945458587
396,0,0.995934750506134,0.000131446260569522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756404983942864
397,0,0.933780508943066,0.0000958585992571033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765284640522316
398,0,0.794425785453386,0.000278800977444963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779349117449255
399,0,0.501488509686762,0.000388298324507306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792586149040809
400,0,0.229197912923397,0.000760779793624674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801803997425093
401,0,0.0772429147354458,0.00158555434340984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803267550683629
402,0,0.0124285800161373,0.00662842067920298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81793852012355
403,0,0.00255490940290433,0.0315239405051882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832479808991526
404,0,0.000688006297779497,0.119282139741959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833984320287754
405,0,0.000213780164647038,0.356704174828794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851314448948255
406,0,0.0000903675290585691,0.626388018293691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861328783156153
407,0,0.0000386129945875348,0.841911899345103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872345135396777
408,0,0.0000116644986918655,0.949378335638737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877758061495947
409,0,0,0.98250960965063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889182737900773
410,0,0,0.995127018242244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893007495464416
411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898271348471941
412,0,0,0.991608324033918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902604517396003
413,0,0,0.95756009921232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901641204120668
414,0,0,0.875006518043885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902250824218587
415,0,0,0.734523554906107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906505196030586
416,0,0,0.463367094499989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896635508891374
417,0,0,0.208306190891929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901316477292568
418,0,0,0.0654952748497229,0.0000419658878519363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897445892799227
419,0,0,0.00944787959106961,0.0000801903993770489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900816291643412
420,0,0,0.00165281699969076,0.0000904392155937311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906959488271923
421,0,0,0.00057554668088942,0.0000982968035727269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905728036067237
422,0,0,0.000163357701109344,0.000171500392454409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910596328053075
423,0,0,0.0000533098299190536,0.000188360111608229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916306453739098
424,0,0,0,0.000225419532773054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922278390180317
425,0,0,0,0.000230276985838944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917271565751338
426,0,0,0,0.000212321473732654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921533111017121
427,0,0,0,0.000281203476236098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933023178808192
428,0,0,0,0.000233468773553707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927885830629959
429,0,0,0,0.000370682085051639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933667615671686
430,0,0,0,0.000478789544593614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94381826989601
431,0,0,0,0.00067719768084887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939348763149867
432,0,0,0,0.00125330948244644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933778414302468
433,0,0,0,0.00305367316513615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940994835098241
434,0,0,0,0.0119758202424531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944291799461385
435,0,0,0,0.0481387796766684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943719766207915
436,0,0,0,0.145684425873436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95071198911934
437,0,0,0,0.38496282969402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940521514187824
438,0,0,0,0.668707526578552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94390242979061
439,0,0,0,0.872540047550964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944043139269053
440,0,0,0,0.981332705291771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94948609378041
441,0,0,0,0.992965131722147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950218240629046
442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961142412569426
443,0,0,0,0.984506457227727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955680686101829
444,0,0,0,0.967047636439843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95821314788655
445,0,0,0,0.943547968300087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961397892375837
446,0,0,0,0.885148700002458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.966529153804605
447,0,0,0,0.714529214836388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962259079680605
448,0,0,0,0.470733827210225,0.0000519914333043283,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95004814415728
449,0,0,0,0.241723541561532,0.000123011964450743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955895715830913
450,0,0,0,0.0782094867919437,0.000235479227531721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967145979445622
451,0,0,0,0.0222576272913529,0.000365704656021606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958765180162011
452,0,0,0,0.00641859860803395,0.0003986551827288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962996348709505
453,0,0,0,0.00151186399461443,0.00064891229947377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959806636294828
454,0,0,0,0.000452533917538692,0.00116830933700645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945077234854272
455,0,0,0,0.000198730966576842,0.00246063592811694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955610701822522
456,0,0,0,0.0000734370178992246,0.00927417845347427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947090648197628
457,0,0,0,0,0.0379534562841438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954679235734054
458,0,0,0,0,0.1290931982562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95798693554761
459,0,0,0,0,0.381780165108294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954796973293123
460,0,0,0,0,0.701911429836815,0.0000357656662091466,0,0,0,0,0,0,0,0,0,0,0,0,0.954061146519741
461,0,0,0,0,0.920482580186782,0.0000547166888381451,0,0,0,0,0,0,0,0,0,0,0,0,0.947275118920594
462,0,0,0,0,1,0.0000640492811695594,0,0,0,0,0,0,0,0,0,0,0,0,0.948840863429724
463,0,0,0,0,0.992902118505753,0.0000747903193079319,0,0,0,0,0,0,0,0,0,0,0,0,0.960383489293064
464,0,0,0,0,0.970559516693434,0.0000962185535358038,0,0,0,0,0,0,0,0,0,0,0,0,0.964508182309729
465,0,0,0,0,0.922289126763955,0.000110814853110385,0,0,0,0,0,0,0,0,0,0,0,0,0.95322923798155
466,0,0,0,0,0.854075540622123,0.000158584322398348,0,0,0,0,0,0,0,0,0,0,0,0,0.946622190641086
467,0,0,0,0,0.796750951574466,0.000161084729801953,0,0,0,0,0,0,0,0,0,0,0,0,0.949676962477357
468,0,0,0,0,0.728372956770203,0.000218715914352982,0,0,0,0,0,0,0,0,0,0,0,0,0.957883979852985
469,0,0,0,0,0.570123217423113,0.000275330846925376,0,0,0,0,0,0,0,0,0,0,0,0,0.968164347763398
470,0,0,0,0,0.350576639606861,0.000303824298678657,0,0,0,0,0,0,0,0,0,0,0,0,0.985938462918999
471,0,0,0,0,0.14500816110392,0.000318280806225099,0,0,0,0,0,0,0,0,0,0,0,0,0.975495458435468
472,0,0,0,0,0.0235597197246466,0.000425969123238923,0,0,0,0,0,0,0,0,0,0,0,0,0.981230385592336
473,0,0,0,0,0.00305972014520048,0.000461322430671028,0,0,0,0,0,0,0,0,0,0,0,0,0.992938471762436
474,0,0,0,0,0.000819594729042386,0.00053668544319702,0,0,0,0,0,0,0,0,0,0,0,0,1
475,0,0,0,0,0.000230616303552702,0.000626923200893413,0,0,0,0,0,0,0,0,0,0,0,0,0.98175295821827
476,0,0,0,0,0.0000513307929799801,0.000818123163067518,0,0,0,0,0,0,0,0,0,0,0,0,0.985887079582758
477,0,0,0,0,0,0.00103984318394914,0,0,0,0,0,0,0,0,0,0,0,0,0.992444580887177
478,0,0,0,0,0,0.00142358481646053,0,0,0,0,0,0,0,0,0,0,0,0,0.989666067158981
479,0,0,0,0,0,0.00280759910735858,0,0,0,0,0,0,0,0,0,0,0,0,0.973925947965608
480,0,0,0,0,0,0.0100504909756051,0,0,0,0,0,0,0,0,0,0,0,0,0.975530946953539
481,0,0,0,0,0,0.0460510901097284,0,0,0,0,0,0,0,0,0,0,0,0,0.9825423591055
482,0,0,0,0,0,0.196173838689408,0,0,0,0,0,0,0,0,0,0,0,0,0.98094221857794
483,0,0,0,0,0,0.463572622231386,0,0,0,0,0,0,0,0,0,0,0,0,0.982828004060462
484,0,0,0,0,0,0.725379612552833,0,0,0,0,0,0,0,0,0,0,0,0,0.977807805170075
485,0,0,0,0,0,0.923291103458681,0,0,0,0,0,0,0,0,0,0,0,0,0.985585550630476
486,0,0,0,0,0,0.981002972078495,0,0,0,0,0,0,0,0,0,0,0,0,0.986376741585783
487,0,0,0,0,0,0.989293718565568,0,0,0,0,0,0,0,0,0,0,0,0,0.98396530079913
488,0,0,0,0,0,0.995588632539111,0.0000496651520029294,0,0,0,0,0,0,0,0,0,0,0,0.979959352392142
489,0,0,0,0,0,1,0.0000533188470957078,0,0,0,0,0,0,0,0,0,0,0,0.972630084461317
490,0,0,0,0,0,0.997754950557444,0.000081390783981846,0,0,0,0,0,0,0,0,0,0,0,0.966247033553872
491,0,0,0,0,0,0.987382297451074,0.000140206215030957,0,0,0,0,0,0,0,0,0,0,0,0.962701107985768
492,0,0,0,0,0,0.945854053256543,0.000147001829375553,0,0,0,0,0,0,0,0,0,0,0,0.97087400568316
493,0,0,0,0,0,0.763788946276584,0.000144825263166393,0,0,0,0,0,0,0,0,0,0,0,0.972585348443481
494,0,0,0,0,0,0.476010459979967,0.000187169995700906,0,0,0,0,0,0,0,0,0,0,0,0.96637663418132
495,0,0,0,0,0,0.200084151239768,0.000224179465062107,0,0,0,0,0,0,0,0,0,0,0,0.959543635581499
496,0,0,0,0,0,0.0291699896748451,0.000320669339819054,0,0,0,0,0,0,0,0,0,0,0,0.966076015470244
497,0,0,0,0,0,0.00206531691451285,0.000495676067705171,0.0000187240435865941,0,0,0,0,0,0,0,0,0,0,0.960388829250965
498,0,0,0,0,0,0.00028443438055282,0.000878407101755701,0.0000669060514897708,0,0,0,0,0,0,0,0,0,0,0.962671315698965
499,0,0,0,0,0,0.0000540854634600237,0.00181210764126955,0.0000973306757235713,0,0,0,0,0,0,0,0,0,0,0.954914344267898
500,0,0,0,0,0,0.0000538367966321429,0.00582028761308148,0.0000843670770656356,0,0,0,0,0,0,0,0,0,0,0.946278245593938
501,0,0,0,0,0,0.0000155352692360621,0.0208159691443357,0.000118141197915686,0,0,0,0,0,0,0,0,0,0,0.949266356906982
502,0,0,0,0,0,0.0000128056077635247,0.0661999917588231,0.000166290382745432,0,0,0,0,0,0,0,0,0,0,0.943751761558741
503,0,0,0,0,0,0,0.216596403755876,0.000181538270194783,0,0,0,0,0,0,0,0,0,0,0.936277723642635
504,0,0,0,0,0,0,0.456576214548265,0.000179638465437447,0,0,0,0,0,0,0,0,0,0,0.923248899714398
505,0,0,0,0,0,0,0.704559291929486,0.000178200978689985,0,0,0,0,0,0,0,0,0,0,0.916746710969706
506,0,0,0,0,0,0,0.909486343701694,0.000175023846736824,0,0,0,0,0,0,0,0,0,0,0.921708639529393
